year,stage,subscribers,basic,standard,premium,hito,descripcion,revenue
1997,FASE 1,0.1,100,0,0,Se Funda Netflix.,"Reed Hastings y Marc Rudolph fundaron Netflix, permitiendo a 100.000 estadounidenses alquilar DVDs por internet sin ir al videoclub.",1.40
2000,FASE 1,0.2,100,0,0,Nace el sistema de recomendación de películas personalizado.,Primer paso para guiar el consumo del usuario.,35.91
2001,FASE 1,0.4,100,0,0,Se duplican los ingresos respecto al año pasado.,Los ingresos crecen en un +114%,75.91
2002,FASE 1,0.8,100,0,0,Netflix en bolsa (NFLX). Inversores aportan en la plataforma.,Los accionistas se movilizan y se disparan los ingresos a más de $150M,152.80
2003,FASE 1,1.4,100,0,0,Netflix patenta su modelo de negocio de alquiler por suscripción.,Un hito que valida el modelo de suscripción y consolida la base de usuarios.,272.24
2004,FASE 1,2.5,100,0,0,"Clín, Clín... Medio Billón",Netflix reporta ingresos de un total de 506 Millones de dolares.,506.22
2005,FASE 1,4.0,100,0,0,Se lanza «Perfiles»: listas personalizadas para cada usuario.,Ahora las recomendaciones son más precisas que nunca. Pudiendo separar los perfiles de cada cuenta para mejorar el sistema.,682.00
2006,FASE 1,6.2,100,0,0,Se superan los 5 millones de suscriptores y rozando el billón de dólares.,En este momento Netflix ya contaría con más de 55K títulos,997.00
2007,FASE 2,7.3,100,0,0,Netflix se inicia en el streaming.,Dando comienzo a la era del consumo de contenido bajo demanda. La plataforma ya había adquirido licencias para más de 90K títulos en DVD y 5K en streaming.,"1,205.00"
2008,FASE 2,9.2,100,0,0,Netflix se asocia con marcas import de electrónica para integrar la transmisión en consolas y TV,Ahora televisiones y videoconsolas ofrecían su catalogo streaming. En este momento ya hay mas de 12K títulos straming.,"1,365.00"
2009,FASE 2,11.9,100,0,0,Netflix entrega un premio de $1M por un concurso realizado para mejorar su algoritmo de recomendaciones.,,"1,670.00"
2010,FASE 2,18.3,70,30,0,"Más suscriptores. Netflix reduce ligeramente su precio base para incentivar las altas ""solo streaming"".","El truco: el precio se reduce $7,99 para los ""only streaming"" pero asciende a $9,99 para los que mantienen DVDs. Hay que señalar que en este momento las principales películas estaban solo en DVD.","2,160.00"
2011,FASE 2,24.3,60,35,5,"LLega el Botón ""Netflix"" a los controles remoto",Ya no te puedes escapar del efecto Netflix. Los suscriptores son cada vez más propensos al streaming.,"3,200.00"
2012,FASE 2,30.4,50,40,10,"Debut del contenido original: ""Lillyhammer""",Primeras inversiones fuertes en contenido original. Un paso que marcaría el futuro de la plataforma.,"3,600.00"
2013,FASE 2,41.4,40,50,10,"Gran apuesta por las series: ""House of Cards"" y ""Orange Is The Nuew Black""","Tras una inversión millonaria, este hito supuso varias nominaciones a los Emmy y posicionamiento como líder en la industria del entretenimiento.","4,370.00"
2014,FASE 3,54.5,30,60,10,Llega a Europa reportando más de 50 millones de suscriptores,Una llegada a europa en una etapa ya bien madura y un plan de precios pensados para premiar a los que más pagan: Plan Barato = Imagen SD; Plan Medio = Imagen HD alta; Plan caro = Imagen HD + 4 pantallas.,"5,500.00"
2015,FASE 3,70.8,20,70,10,"Ahora España, Australia, Cuba, Italia, Japan, y Nueva Zelanda.","Nuev, ahora con acceso a estudios y productoras a nivel mundial.","6,780.00"
2016,FASE 3,89.1,20,65,15,Ya está en 190 países y en 21 idiomas. ,"Además de este hito, la compañía agrega la popular función de “Descargas” para ver contenido sin necesidad de internet.","8,830.00"
